marca_temporal,modalidad,trabajo,tipo_de_trabajo,devops,codificar_por_trabajo,experiencia_en_ti,experiencia_en_codificación_,primera_línea_de_código_en_una_máquina,educación,carreras_o_especialidades,importancia_educación_formal,género,edad_actual_,salario_mensual,programación_scripting_y_lenguajes_de_marcado,librerías_o_web_frameworks,otras_frameworks_librerías_y_herramientas,base_de_datos,plataformas,lenguaje_favorito,lenguaje_más_odiado,framework_favorito,framework_más_odiado,herramientas
2021/03/01 8:51:25 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Aps de escritorio o empresariales;DB Admin;Project Lead,Sys Admin;Data Scientist ML Specialist,Sí,10-14,10-14,10-11,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Master,Análisis de Sistemas;Ing. Informática,MUY,HOMBRE,30-34,12.000.000 a 15.000.000 Gs.,JavaScript;PHP;Python;SQL;Oracle form,React.js;Laravel,Pandas;TensorFlow;React Native,MySQL;MariaDB;PostgreSQL;Oracle,GNU/Linux;Microsoft Windows;MacOS;Docker,Oracle form,Genexus,Laravel,,GitHub;GitLab;Google Suite;Microsoft Team;Trello
2021/03/01 8:55:23 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end,Sys Admin,Sí,<5,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Ing. Informática,NO,HOMBRE,20-24,2.192.839 gs a 3.500.000 Gs.,JavaScript;PHP,React.js;Vue.js;Laravel,,MySQL;PostgreSQL;SQLite;MongoDB,GNU/Linux;Microsoft Windows;MacOS,PHP,Java,Laravel,CakePHP,GitHub;Slack;Trello;Discord
2021/03/01 9:02:47 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end,,Sí,<5,<5,<10,Ed. Secundaria,Programación;Análisis de Sistemas;Ing. Informática,BASTANTE,HOMBRE,20-24,2.192.839 gs a 3.500.000 Gs.,JavaScript;TypeScript;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;Express;Django;Flask,Node.js,MySQL;PostgreSQL;MongoDB;Oracle,GNU/Linux;Microsoft Windows;MacOS,Python,Java,React.js,Django,GitHub;Google Suite
2021/03/01 9:05:06 p. m. GMT-3,Hibrído,Nacional (Paraguay),QA o testing,,Sí,20-24,<5,12-13,Ed. Universitaria,Programación;Análisis de Sistemas,BASTANTE,HOMBRE,40-44,5.000.000 a 7.000.000 Gs.,Python;C;HTML/CSS;SQL;Bash/Shell/PowerShell;Genexus,,,MySQL;IBM DB2,GNU/Linux;Microsoft Windows;Docker;Android;WordPress,Python,Java,Django,ASP.NET,GitHub;Jira;Google Suite
2021/03/01 9:08:37 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack;Aps de escritorio o empresariales;Project Lead,,Sí,5-9,5-9,10-11,Ed. Universitaria,Análisis de Sistemas,+ || -,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,JavaScript;TypeScript;Python;Java;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Oracle form,React.js;Angular.js,Node.js,PostgreSQL;Oracle,GNU/Linux;MacOS;Docker;AWS,Java,,React.js,,GitHub;Slack;GitLab;Jira;Google Suite;Confluence
2021/03/01 9:10:20 p. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end;DB Admin,Sys Admin,Sí,5-9,5-9,<10,Ed. Universitaria;Autodidacta,Ing. Informática,BASTANTE,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;TypeScript;Python;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;Angular;Angular.js;JQuery;Spring;Django;Flask,Node.js;Cordova,MySQL;PostgreSQL;Microsoft SQL Server;Oracle;IBM DB2,GNU/Linux;Microsoft Windows;Docker;WordPress,Java,,Angular,,GitHub;Slack;GitLab;Google Suite
2021/03/01 9:31:16 p. m. GMT-3,Ninguna,Nacional (Paraguay),Aps de escritorio o empresariales,Educador,No,15-19,15-19,24-25,Ed. Universitaria,Programación;Ing. Informática,BASTANTE,HOMBRE,40-44,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;C;HTML/CSS;Fox Pro,,,MySQL;MariaDB,GNU/Linux;Microsoft Windows,PHP,Java,,,Microsoft Team
2021/03/01 9:33:49 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Aps de escritorio o empresariales,,Sí,10-14,10-14,10-11,Ed. Universitaria,Análisis de Sistemas,+ || -,HOMBRE,30-34,12.000.000 a 15.000.000 Gs.,JavaScript;PHP;Python;Java;Kotlin;C#;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Swift;Objective-C;Dart;Oracle form,Angular;ASP.NET;ASP.NET Core;Vue.js;Spring;Django;Flask,Node.js;.NET;Flutter,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Firebase,Microsoft Windows;MacOS;iOS,Python,Bash/Shell/PowerShell,Vue.js,React.js,GitHub;GitLab;Jira;Google Suite;Confluence;Microsoft Team
2021/03/01 9:34:31 p. m. GMT-3,Hibrído,Internacional,Dev back-end;Project Lead,Sys Admin,Sí,10-14,10-14,12-13,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Ing. Informática,+ || -,HOMBRE,30-34,15.000.000 a 18.000.000 Gs.,Ruby;Java;HTML/CSS;SQL,Spring;Ruby on Rails,React Native,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Redis;Elasticsearch,GNU/Linux;MacOS;Docker,Ruby,Objective-C,Ruby on Rails,Spring,GitHub;Slack;Jira;Google Suite;Confluence;Trello
2021/03/01 10:23:35 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;QA o testing;DB Admin;Project Lead,Sys Admin,Sí,10-14,10-14,16-17,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Análisis de Sistemas,BASTANTE,HOMBRE,25-29,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;Java;SQL,JQuery;Spring;Laravel,,MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Oracle;Elasticsearch,GNU/Linux;Microsoft Windows,Java,Ruby,Laravel,ASP.NET Core,GitHub;Slack;GitLab;Jira;Google Suite;Trello;Discord
2021/03/01 10:31:01 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev de sistemas embebidos,Diseñador,Sí,<5,<5,14-15,Ed. Universitaria,Programación;Análisis de Sistemas,NO,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,HTML/CSS;Genexus,,,Microsoft SQL Server,Microsoft Windows,Genexus,Java,,,
2021/03/01 10:57:49 p. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack,,Sí,<5,<5,12-13,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,25-29,3.500.000 a 5.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell,React.js;Angular;JQuery;Express;Spring;Django,Node.js;Pandas,MySQL;PostgreSQL;SQLite;MongoDB;Elasticsearch,GNU/Linux;Microsoft Windows;MacOS;Android,Java,,Django,,GitHub;Slack;GitLab;Google Suite;Microsoft Team
2021/03/01 11:04:25 p. m. GMT-3,Remoto,Internacional,Dev back-end;Dev full-stack,Sys Admin,Sí,10-14,15-19,12-13,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Master,Ing. Informática;Otras,NO,HOMBRE,30-34,> 27.000.000 Gs.,JavaScript;TypeScript;PHP;Python;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell;Rust,React.js;JQuery;Express;Django;Flask;Laravel,Node.js,MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Redis;Elasticsearch,GNU/Linux;MacOS;Docker;AWS;Kubernetes,Python,PHP,Django,ASP.NET Core,Slack;GitLab;Jira;Google Suite;Confluence
2021/03/01 11:26:58 p. m. GMT-3,Hibrído,Ambas,Dev back-end;Dev front-end;Dev full-stack,Sys Admin,No,<5,<5,14-15,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Análisis de Sistemas;Ing. Informática,MUY,HOMBRE,15-19,2.192.839 gs a 3.500.000 Gs.,JavaScript;TypeScript;PHP;Python;C++;HTML/CSS;SQL;Dart,React.js;Angular;Angular.js;JQuery;Express;Vue.js;Django;Flask;Laravel;Gatsby,Node.js;Pandas;TensorFlow;React Native;Unity 3D;Flutter;Unreal Engine,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Firebase,GNU/Linux;Microsoft Windows;Docker;Raspberry Pi;Heroku,Python,C#,React.js,ASP.NET,GitHub;Slack;GitLab;Google Suite;Microsoft Team;Microsoft Azure;Trello;Discord
2021/03/01 11:38:30 p. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;DB Admin,,Sí,<5,<5,<10,Ed. Universitaria,Otras,BASTANTE,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,Python;HTML/CSS;SQL;Bash/Shell/PowerShell;Rust,Django,Pandas,MySQL;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle,GNU/Linux;Microsoft Windows,SQL,VBA,,,GitHub;Microsoft Team
2021/03/02 12:21:05 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev mobile;Dev de sistemas embebidos;Aps de escritorio o empresariales,,Sí,5-9,5-9,16-17,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Análisis de Sistemas;Ing. Informática,MUY,MUJER,30-34,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;Python;Java;C;C#;HTML/CSS;SQL;Fox Pro,JQuery;ASP.NET;ASP.NET Core;Django;Laravel,.NET;NET Core,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Oracle,GNU/Linux;Microsoft Windows;MacOS;Android;WordPress,C#,Fox Pro,Laravel,,GitHub;Slack;GitLab;Jira;Discord
2021/03/02 12:26:17 a. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end,Sys Admin,Sí,10-14,5-9,<10,Ed. Basica;Ed. Secundaria,Programación,+ || -,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;TypeScript;PHP;Go;HTML/CSS;SQL,React.js;JQuery;Express,Node.js;React Native,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;DynamoDB;IBM DB2,GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Microsoft Azure;Google Cloud Platform,TypeScript,Java,React.js,Spring,GitHub;Slack;GitLab;Google Suite;Microsoft Team;Trello
2021/03/02 12:29:27 a. m. GMT-3,Remoto,Internacional,Dev front-end,,Sí,5-9,5-9,16-17,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Ing. Informática,+ || -,HOMBRE,25-29,> 27.000.000 Gs.,JavaScript;TypeScript;Java;Go;HTML/CSS,React.js,Node.js,MySQL;PostgreSQL;MongoDB;Oracle;Elasticsearch,GNU/Linux;Microsoft Windows;MacOS;AWS;Google Cloud Platform,JavaScript,Java,React.js,Angular.js,GitHub;Slack;Jira;Google Suite;Confluence
2021/03/02 12:32:15 a. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack,,Sí,5-9,5-9,12-13,Ed. Universitaria,Análisis de Sistemas;Ing. Informática,+ || -,MUJER,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;C#;HTML/CSS;SQL;Fox Pro,JQuery;ASP.NET;ASP.NET Core,.NET;NET Core,PostgreSQL;Microsoft SQL Server;Oracle,Microsoft Windows;Microsoft Azure,C#,,ASP.NET Core,,GitHub;Microsoft Team;Microsoft Azure
2021/03/02 12:40:33 a. m. GMT-3,Presencial,Nacional (Paraguay),Aps de escritorio o empresariales;DB Admin,Sys Admin,Sí,<5,<5,20-21,Ed. Universitaria,Análisis de Sistemas,MUY,MUJER,30-34,2.192.839 gs a 3.500.000 Gs.,SQL;Oracle form,ASP.NET;Express,.NET,Microsoft SQL Server,Microsoft Windows,SQL,Java,ASP.NET,React.js,Google Suite;Discord
2021/03/02 1:03:05 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end,,Sí,<5,<5,12-13,Ed. Universitaria,Ing. Informática,+ || -,HOMBRE,30-34,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;Java;HTML/CSS;Bash/Shell/PowerShell,Spring,,MySQL;PostgreSQL;Microsoft SQL Server;Oracle;IBM DB2,GNU/Linux;Microsoft Windows,Java,JavaScript,Spring,JQuery,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello
2021/03/02 1:12:52 a. m. GMT-3,Remoto,Ambas,Dev back-end;Dev front-end;Dev full-stack;Aps de escritorio o empresariales;DB Admin,Sys Admin,Sí,15-19,15-19,14-15,Ed. Basica;Ed. Secundaria,Ninguna,MUY,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;PHP;Python;Java;Kotlin;C#;HTML/CSS;SQL;Fox Pro,JQuery;Vue.js;Laravel,Node.js;.NET;NET Core,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Redis;Oracle;IBM DB2,GNU/Linux;Microsoft Windows;Android;Microsoft Azure;WordPress;Arduino,JavaScript,Fox Pro,Laravel,,GitHub;GitLab;Jira;Google Suite;Microsoft Team;Microsoft Azure;Trello;Discord
2021/03/02 1:14:10 a. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;Dev mobile;DB Admin,,Sí,5-9,5-9,12-13,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Ing. Informática,MUY,HOMBRE,30-34,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;Python;Java;HTML/CSS;SQL;Swift;Objective-C,JQuery;Vue.js;Laravel;CodeIgniter,Node.js;React Native,MySQL;PostgreSQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows;MacOS;Android;iOS,PHP,Java,Laravel,CakePHP,GitHub;Slack;Jira;Trello
2021/03/02 2:13:21 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev full-stack,,Sí,<5,5-9,10-11,Ed. Universitaria;Autodidacta,Programación,MUY,HOMBRE,25-29,3.500.000 a 5.000.000 Gs.,JavaScript;TypeScript;Java;HTML/CSS;SQL,React.js;Angular;Angular.js;JQuery,React Native,MySQL;PostgreSQL;Oracle,Microsoft Windows,TypeScript,PHP,Angular,JQuery,GitHub;GitLab;Jira
2021/03/02 4:25:26 a. m. GMT-3,Remoto,Internacional,Dev full-stack,Data Scientist ML Specialist;Inv. Cientifico,Sí,10-14,10-14,12-13,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Master;Autodidacta,Análisis de Sistemas;Ing. Informática,BASTANTE,HOMBRE,30-34,18.000.000 a 21.000.000 Gs.,JavaScript;PHP;Python;Java;C#;HTML/CSS;SQL;Bash/Shell/PowerShell;R;Perl,React.js;Angular.js;JQuery;ASP.NET;ASP.NET Core;Spring;Django;Flask;CodeIgniter,.NET;Pandas;TensorFlow;Ansible;Keras;Torch/PyTorch;Hadoop;Puppet;Chef,MySQL;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle,GNU/Linux;Microsoft Windows;Docker;AWS;Android;WordPress,Python,R,Django,Spring,GitHub;Slack;Google Suite;Trello
2021/03/02 6:01:56 a. m. GMT-3,Presencial,Nacional (Paraguay),Dev back-end;Dev front-end;DB Admin,,No,<5,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Análisis de Sistemas,BASTANTE,HOMBRE,25-29,2.192.839 gs a 3.500.000 Gs.,JavaScript;Java;HTML/CSS;SQL,Angular.js;JQuery;Express,Node.js,MySQL;PostgreSQL,GNU/Linux;Microsoft Windows,JavaScript,Genexus,JQuery,Angular.js,GitHub
2021/03/02 6:06:26 a. m. GMT-3,Hibrído,Nacional (Paraguay),Aps de escritorio o empresariales,Sys Admin,Sí,5-9,<5,10-11,Ed. Basica;Ed. Secundaria;Ed. Universitaria,Programación;Análisis de Sistemas,MUY,HOMBRE,30-34,2.192.839 gs a 3.500.000 Gs.,Java;C#;SQL,React.js,.NET;React Native;Flutter,PostgreSQL,Microsoft Windows,C#,PHP,React.js,Angular,GitHub;Trello;Discord
2021/03/02 6:33:39 a. m. GMT-3,Presencial,Nacional (Paraguay),QA o testing,,Sí,5-9,<5,<10,Ed. Universitaria;Autodidacta,Análisis de Sistemas,+ || -,MUJER,30-34,3.500.000 a 5.000.000 Gs.,C#;HTML/CSS;SQL;Oracle form,Laravel,Node.js;.NET,MySQL;PostgreSQL;Oracle,GNU/Linux,Oracle form,JavaScript,Laravel,,GitHub;GitLab;Jira;Google Suite;Microsoft Team;Microsoft Azure
2021/03/02 6:55:24 a. m. GMT-3,Hibrído,Nacional (Paraguay),DB Admin,Sys Admin,No,<5,<5,<10,Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,25-29,2.192.839 gs a 3.500.000 Gs.,JavaScript;Java;Go;HTML/CSS;Dart,JQuery,.NET,MySQL;PostgreSQL;Oracle,Microsoft Windows;Android,Go,C++,JQuery,Vue.js,GitHub;Jira;Discord
2021/03/02 7:07:52 a. m. GMT-3,Hibrído,Ambas,Dev front-end;Dev de sistemas embebidos;DB Admin,Sys Admin,Sí,10-14,<5,<10,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,35-39,5.000.000 a 7.000.000 Gs.,JavaScript;Python;Java;C++;HTML/CSS;SQL,React.js;Vue.js;Laravel,Node.js,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;MongoDB;Oracle,GNU/Linux;Microsoft Windows;Microsoft Azure,JavaScript,Java,React.js,Laravel,GitHub;Slack;Microsoft Team
2021/03/02 7:10:49 a. m. GMT-3,Hibrído,Nacional (Paraguay),Project Lead,,Sí,5-9,5-9,18-19,Ed. Universitaria,Programación;Análisis de Sistemas;Ing. Informática,+ || -,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;C#;HTML/CSS;SQL;Oracle form;Fox Pro,React.js;ASP.NET;ASP.NET Core,Node.js;.NET;NET Core,MySQL;MongoDB;Oracle,GNU/Linux;Microsoft Windows;Docker;Arduino,C#,C#,ASP.NET Core,ASP.NET Core,GitHub;Microsoft Team;Microsoft Azure;Discord
2021/03/02 7:22:15 a. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Dev mobile,,Sí,5-9,5-9,<10,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,25-29,7.000.000 a 9.000.000 Gs.,JavaScript;TypeScript;Java;HTML/CSS;SQL,Angular;Express;Vue.js;Spring,Node.js;Cordova,PostgreSQL,GNU/Linux;Microsoft Windows;Docker;Google Cloud Platform,JavaScript,Java,Angular,Angular.js,GitLab;Jira;Google Suite
2021/03/02 7:42:28 a. m. GMT-3,Remoto,Ambas,Dev back-end;Dev front-end,Diseñador,Sí,5-9,5-9,14-15,Master,Análisis de Sistemas,MUY,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,JavaScript;PHP,React.js;JQuery;Vue.js,Node.js,MySQL;MariaDB;PostgreSQL;MongoDB,Microsoft Windows,JavaScript,,Vue.js,Angular,GitHub;Slack;Discord
2021/03/02 8:00:29 a. m. GMT-3,Hibrído,Nacional (Paraguay),DB Admin,Sys Admin,Sí,5-9,<5,<10,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,35-39,3.500.000 a 5.000.000 Gs.,Bash/Shell/PowerShell,,,PostgreSQL;Microsoft SQL Server,Microsoft Windows;Android;Microsoft Azure,Bash/Shell/PowerShell,,,,Jira;Google Suite;Microsoft Team;Microsoft Azure
2021/03/02 8:00:55 a. m. GMT-3,Hibrído,Nacional (Paraguay),Project Lead,,Sí,10-14,10-14,16-17,Ed. Universitaria,Ing. Informática,BASTANTE,HOMBRE,35-39,9.000.000 a 12.000.000 Gs.,Java;C#;C++;SQL;Genexus,Angular;ASP.NET Core,.NET;NET Core,MySQL;PostgreSQL;Microsoft SQL Server;Oracle;IBM DB2,GNU/Linux;Microsoft Windows,Genexus,Java,Django,,Microsoft Team
2021/03/02 8:22:18 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev mobile,,Sí,<5,<5,<10,Ed. Universitaria;Autodidacta,Ing. Informática,NO,HOMBRE,20-24,2.192.839 gs a 3.500.000 Gs.,JavaScript;Python;Java;Kotlin;C;C++;HTML/CSS;SQL,JQuery;Flask,,MySQL;PostgreSQL;Microsoft SQL Server;SQLite,GNU/Linux;Microsoft Windows;Android,Kotlin,Java,,,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team
2021/03/02 8:39:23 a. m. GMT-3,Hibrído,Ambas,Aps de escritorio o empresariales;DB Admin;Project Lead,Sys Admin,Sí,10-14,10-14,10-11,Ed. Universitaria;Master,Programación;Análisis de Sistemas,BASTANTE,MUJER,30-34,9.000.000 a 12.000.000 Gs.,JavaScript;PHP;Python;HTML/CSS;SQL,JQuery;Django,,MySQL;PostgreSQL;Oracle,Microsoft Windows;Android,SQL,Java,JQuery,,Trello
2021/03/02 9:01:57 a. m. GMT-3,Presencial,Nacional (Paraguay),Aps de escritorio o empresariales,Sys Admin,Sí,10-14,5-9,14-15,Ed. Universitaria,Programación;Análisis de Sistemas,BASTANTE,MUJER,35-39,7.000.000 a 9.000.000 Gs.,SQL,,,Microsoft SQL Server,Microsoft Windows,Otro,,,,
2021/03/02 9:08:18 a. m. GMT-3,Remoto,Internacional,Dev back-end,Data Scientist ML Specialist,Sí,10-14,10-14,16-17,Ed. Secundaria;Ed. Universitaria;Master,Análisis de Sistemas;Otras,MUY,HOMBRE,30-34,> 27.000.000 Gs.,Python;Java;C#;HTML/CSS;SQL;Bash/Shell/PowerShell;Scala;Perl;Oracle form,Django;Flask;Ruby on Rails,Node.js;.NET;Pandas;TensorFlow;Torch/PyTorch;Hadoop,MySQL;PostgreSQL;Microsoft SQL Server;MongoDB;Oracle;DynamoDB;Cassandra;Elasticsearch,GNU/Linux;Microsoft Windows;Docker;AWS;Heroku,Python,Java,,,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team
2021/03/02 9:09:59 a. m. GMT-3,Hibrído,Nacional (Paraguay),QA o testing,,Sí,<5,<5,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Análisis de Sistemas;Ing. Informática;Ing. Electrónica,BASTANTE,HOMBRE,25-29,3.500.000 a 5.000.000 Gs.,JavaScript;TypeScript;Java;C#;C++;HTML/CSS;SQL,Spring;Django,Node.js;.NET;NET Core,MySQL;PostgreSQL;MongoDB;Oracle,GNU/Linux;Microsoft Windows;Android;Raspberry Pi;Microsoft Azure;Heroku;Arduino,Python,Fox Pro,ASP.NET,CakePHP,GitHub;GitLab;Jira;Google Suite;Microsoft Team;Microsoft Azure;Discord
2021/03/02 9:13:07 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end;Dev full-stack;Aps de escritorio o empresariales;QA o testing;DB Admin,Sys Admin,Sí,15-19,10-14,14-15,Ed. Universitaria;Master,Programación;Análisis de Sistemas;Otras,MUY,HOMBRE,40-44,9.000.000 a 12.000.000 Gs.,JavaScript;TypeScript;PHP;Java;HTML/CSS;SQL;VBA;Oracle form;Fox Pro;COBOL;RPG,React.js;Angular;Angular.js;JQuery,Node.js;React Native,MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Redis;Oracle;Firebase,GNU/Linux;Microsoft Windows;Android;Google Cloud Platform;Kubernetes,Java,PHP,JQuery,Laravel,GitHub;Slack;GitLab;Jira;Google Suite;Confluence;Microsoft Team;Trello
2021/03/02 9:14:22 a. m. GMT-3,Presencial,Nacional (Paraguay),Dev full-stack,Diseñador,Sí,5-9,<5,<10,Ed. Universitaria,Análisis de Sistemas,MUY,HOMBRE,25-29,5.000.000 a 7.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL,Angular.js;JQuery;Laravel,,MySQL;PostgreSQL,GNU/Linux;Microsoft Windows;Android,PHP,,Laravel,,GitHub;GitLab
2021/03/02 9:19:55 a. m. GMT-3,Remoto,Nacional (Paraguay),Dev back-end;Dev front-end,,Sí,<5,<5,10-11,Ed. Universitaria,Análisis de Sistemas,+ || -,HOMBRE,25-29,2.192.839 gs a 3.500.000 Gs.,JavaScript;TypeScript;Java;HTML/CSS;SQL;VBA,Angular;Angular.js,Node.js;.NET,PostgreSQL;Microsoft SQL Server,GNU/Linux;Microsoft Windows;Docker,Java,,Angular,,Jira;Microsoft Team
2021/03/02 9:26:36 a. m. GMT-3,Presencial,Nacional (Paraguay),Dev de sistemas embebidos,Sys Admin,Sí,5-9,<5,<10,Ed. Universitaria,Ing. Informática,+ || -,HOMBRE,30-34,5.000.000 a 7.000.000 Gs.,Oracle form,,,Oracle,GNU/Linux;Microsoft Windows,SQL,,,,
2021/03/02 9:28:17 a. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end;Dev front-end,Sys Admin,Sí,5-9,5-9,14-15,Ed. Universitaria,Programación;Análisis de Sistemas,BASTANTE,HOMBRE,30-34,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell,Laravel;CakePHP,,MySQL;MariaDB;PostgreSQL,GNU/Linux;Docker;AWS,PHP,Ruby,Laravel,CodeIgniter,GitHub;Slack;GitLab;Jira;Trello;Discord
2021/03/02 9:30:57 a. m. GMT-3,Hibrído,Ambas,DB Admin,,Sí,10-14,10-14,14-15,Ed. Universitaria,Análisis de Sistemas,+ || -,HOMBRE,35-39,12.000.000 a 15.000.000 Gs.,Python;C#;SQL,ASP.NET;ASP.NET Core,.NET;NET Core,PostgreSQL;Microsoft SQL Server;Oracle,GNU/Linux;Microsoft Windows,SQL,JavaScript,ASP.NET,,GitHub;Slack;Jira;Google Suite;Microsoft Team;Microsoft Azure;Trello;Discord
2021/03/02 9:32:02 a. m. GMT-3,Hibrído,Nacional (Paraguay),Dev back-end,Sys Admin,Sí,<5,<5,10-11,Ed. Universitaria,Ing. Electrónica,MUY,HOMBRE,25-29,5.000.000 a 7.000.000 Gs.,Python;C#;VBA,Django;Flask,.NET,PostgreSQL;Microsoft SQL Server;SQLite,GNU/Linux;Microsoft Windows,Python,PHP,Flask,CakePHP,GitHub;GitLab;Jira;Google Suite;Confluence;Microsoft Team
2021/03/02 9:36:05 a. m. GMT-3,Hibrído,Nacional (Paraguay),Dev full-stack;Dev mobile,,Sí,5-9,5-9,<10,Ed. Basica;Ed. Secundaria;Ed. Universitaria;Autodidacta,Programación;Análisis de Sistemas;Ing. Informática,+ || -,HOMBRE,30-34,9.000.000 a 12.000.000 Gs.,JavaScript;PHP;Java;HTML/CSS;SQL;Dart,Angular;CakePHP,Node.js;Flutter,MySQL;MariaDB;PostgreSQL,Microsoft Windows;Android,PHP,HTML/CSS,CakePHP,,GitHub;GitLab;Microsoft Team
2021/03/02 9:38:01 a. m. GMT-3,Remoto,Nacional (Paraguay),DB Admin,Educador,Sí,20-24,5-9,16-17,Ed. Secundaria,Programación,CRITICO,HOMBRE,35-39,3.500.000 a 5.000.000 Gs.,JavaScript;PHP;Python;Java;SQL;Oracle form,Angular;Angular.js;Django;Laravel,Node.js,MySQL;PostgreSQL;Oracle,GNU/Linux;Microsoft Windows;MacOS;Android;WordPress,SQL,Fox Pro,Django,Express,GitHub;Google Suite;Microsoft Team;Discord
