"Marca temporal","Modalidad","Trabajo","Tipo de trabajo","DevOps","Codificar por trabajo","Experiencia en TI","Experiencia en codificación ","Primera línea de código en una máquina","Educación","Carreras o especialidades","Importancia educación formal","Género","Edad actual ","Salario mensual","Programación, scripting y lenguajes de marcado","Librerías o web frameworks","Otras frameworks, librerías y herramientas","Base de datos","Plataformas","Lenguaje favorito","Lenguaje más odiado","Framework favorito","Framework más odiado","Herramientas"
"2021/03/02 3:09:10 p. m. GMT-3","Presencial","Nacional (Paraguay)","Aplicaciones de escritorio o empresariales;Administrador de base de datos","Administrador de sistemas;Educador","Sí","5 a 9 años","Menos de 5 años","10 a 11 años","Educación universitaria;Autodidacta","Programación;Ingeniero Informática","Muy importante","Hombre","25 a 29 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;PHP;Java;C++;HTML/CSS;SQL","Angular;JQuery;Spring","Node.js;Flutter;Cordova","MySQL;MariaDB;PostgreSQL","GNU/Linux;Microsoft Windows;WordPress","Java","","Angular","","Slack;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/02 3:35:38 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador front-end","Administrador de sistemas","No","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Autodidacta","Diseño gráfico","Crítico","Hombre","25 a 29 años","Menos del salario mínimo ( 2.192.839 gs)","PHP;Python;HTML/CSS","Django;Laravel","","","Microsoft Windows;WordPress","Python","Java","Laravel","JQuery","GitHub;Google Suite (Docs, Meet, etc)"
"2021/03/02 3:50:08 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","10 a 11 años","Educación universitaria","Análisis de sistemas","Muy importante","Hombre","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","Java;C;C#;HTML/CSS;SQL;Fox Pro","JQuery",".NET","MySQL;PostgreSQL;Microsoft SQL Server;Oracle","GNU/Linux;Microsoft Windows","Java","PHP","","Laravel","Slack;Microsoft Team"
"2021/03/02 3:59:12 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación secundaria;Autodidacta","Programación;Otras","Bastante importante","Hombre","25 a 29 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;TypeScript;Java;Kotlin;HTML/CSS","Angular;Angular.js;JQuery;Express;Spring","Node.js","PostgreSQL","GNU/Linux;Microsoft Windows","JavaScript","TypeScript","Express","Angular","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/02 3:59:33 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Administrador de base de datos","","Sí","5 a 9 años","5 a 9 años","14 a 15 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Otras ingenerías;Diseño gráfico","Bastante importante","Hombre","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;HTML/CSS;SQL","","","MySQL;MariaDB","Microsoft Windows;WordPress","JavaScript","","","","GitHub;Slack;Google Suite (Docs, Meet, etc)"
"2021/03/02 3:59:47 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria","Programación;Ingeniero Informática","No importa, no es necesario","Hombre","25 a 29 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;TypeScript;Python;C;HTML/CSS;SQL","React.js;Express","Node.js","MySQL;PostgreSQL;SQLite;MongoDB;Redis;Elasticsearch","GNU/Linux;MacOS;Docker;Google Cloud Platform","JavaScript","JavaScript","Express","React.js","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/02 4:03:07 p. m. GMT-3","Hibrído","Ambas","Aplicaciones de escritorio o empresariales","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","Menos de 10 años","Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","25 a 29 años","Entre 5.000.000 a 7.000.000 gs","C#;SQL","",".NET;NET Core","Microsoft SQL Server;SQLite;Oracle","Microsoft Windows","C#","Java","ASP.NET","JQuery","GitHub;Slack;Google Suite (Docs, Meet, etc);Microsoft Team;Microsoft Azure;Trello;Discord"
"2021/03/02 4:52:28 p. m. GMT-3","Remoto","Internacional","Desarrollador back-end;Desarrollador front-end;Desarrollador mobile","","Sí","Menos de 5 años","5 a 9 años","14 a 15 años","Educación universitaria","Programación;Ingeniero Informática","Más o menos importante","Hombre","20 a 24 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;TypeScript;PHP;Python;HTML/CSS;SQL","React.js;Angular;JQuery;Vue.js;Django;Laravel","Node.js;React Native;Unity 3D;Flutter","MySQL;MariaDB;PostgreSQL;MongoDB;Firebase","GNU/Linux;Android","Python","C","","","GitHub;Slack;GitLab;Microsoft Team;Trello;Discord"
"2021/03/02 5:26:01 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador full-stack;Desarrollador mobile","","Sí","5 a 9 años","5 a 9 años","Menos de 10 años","Educación universitaria;Autodidacta","Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell","Angular;Angular.js;JQuery;Laravel","Cordova","MySQL;PostgreSQL;MongoDB","GNU/Linux;Microsoft Windows;Docker","PHP","SQL","Laravel","React.js","GitLab;Microsoft Team;Trello"
"2021/03/02 7:39:36 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador full-stack;Administrador de base de datos;Project Leader","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Ingeniero Informática","Crítico","Hombre","25 a 29 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;PHP;C;HTML/CSS;SQL;Bash/Shell/PowerShell","JQuery;Django;Laravel;Symfony;CakePHP","Node.js;Unity 3D","MySQL;MariaDB;Microsoft SQL Server;Oracle","GNU/Linux;Microsoft Windows;WordPress;Google Cloud Platform","PHP","C++","Laravel","ASP.NET Core","GitHub;Slack;GitLab;Jira;Microsoft Team;Trello;Discord"
"2021/03/02 8:00:56 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Project Leader","","Sí","15 a 19 años","10 a 14 años","14 a 15 años","Educación universitaria","Ingeniero Informática","Más o menos importante","Hombre","30 a 34 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;TypeScript;PHP;HTML/CSS;SQL;Bash/Shell/PowerShell","JQuery;Vue.js;Laravel","","MySQL;MariaDB;PostgreSQL","GNU/Linux;Microsoft Windows;AWS;WordPress","PHP","Fox Pro","Laravel","","GitLab;Trello"
"2021/03/02 9:21:00 p. m. GMT-3","Hibrído","Ambas","Desarrollador full-stack;Administrador de base de datos;Project Leader","Administrador de sistemas;Investigador científico","Sí","5 a 9 años","5 a 9 años","14 a 15 años","Educación universitaria","Ingeniero Informática","Muy importante","Hombre","30 a 34 años","Entre 18.000.000 a 21.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;HTML/CSS;SQL;Bash/Shell/PowerShell","Angular;Angular.js;JQuery;Express;Spring;Django","Node.js;Pandas;Cordova","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Firebase","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Android;WordPress;Google Cloud Platform;iOS","Java","Bash/Shell/PowerShell","Spring","","GitHub;Slack;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/02 10:28:51 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Desarrollador mobile;Aplicaciones de escritorio o empresariales;QA o testing;Administrador de base de datos;Project Leader","Administrador de sistemas;Educador","Sí","10 a 14 años","10 a 14 años","18 a 19 años","Educación universitaria","Análisis de sistemas","Muy importante","Hombre","30 a 34 años","Entre 12.000.000 a 15.000.000 gs","Java;Swift","Spring","","PostgreSQL;SQLite","GNU/Linux;Microsoft Windows;MacOS;Android;Google Cloud Platform;iOS","Java","PHP","","Laravel","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Trello"
"2021/03/02 11:09:45 p. m. GMT-3","Remoto","Internacional","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Administrador de base de datos","Administrador de sistemas;Científico de datos o especialista Machine Learning;Investigador científico","Sí","10 a 14 años","10 a 14 años","14 a 15 años","Master","Ingeniero Informática","Más o menos importante","Hombre","30 a 34 años","Entre 15.000.000 a 18.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;Kotlin;C;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;R;Perl;Oracle form","Angular;JQuery;Django;Flask;Laravel","Node.js;Pandas;Unity 3D","MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Redis;Oracle;Firebase","GNU/Linux;Docker;Android;Raspberry Pi;Google Cloud Platform;Kubernetes","Python","Oracle form","Angular","","GitHub;GitLab;Google Suite (Docs, Meet, etc)"
"2021/03/02 11:30:26 p. m. GMT-3","Hibrído","Internacional","Administrador de base de datos","Científico de datos o especialista Machine Learning","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación universitaria","Matemático","Bastante importante","Hombre","25 a 29 años","Entre 15.000.000 a 18.000.000 gs","Python;SQL","","Pandas;Keras","PostgreSQL","GNU/Linux;MacOS","Python","HTML/CSS","","","GitHub;Slack;Jira;Confluence"
"2021/03/02 11:48:41 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","10 a 11 años","Educación universitaria","Programación;Análisis de sistemas","Más o menos importante","Hombre","30 a 34 años","Menos del salario mínimo ( 2.192.839 gs)","JavaScript;TypeScript;Python;Java;HTML/CSS;SQL","React.js;Angular;Angular.js;Spring","Node.js","MySQL;MariaDB;PostgreSQL;SQLite;MongoDB","GNU/Linux;Microsoft Windows;Docker;Heroku","TypeScript","","Spring","","GitHub;Trello"
"2021/03/03 1:27:23 a. m. GMT-3","Hibrído","Nacional (Paraguay)","Aplicaciones de escritorio o empresariales","Administrador de sistemas","Sí","Menos de 5 años","5 a 9 años","Menos de 10 años","Master","Ingeniero Electrónica","Bastante importante","Hombre","20 a 24 años","Entre 2.192.839 gs a 3.500.000 gs","PHP;Java;SQL;Bash/Shell/PowerShell;Dart;Perl;VBA;Genexus;Fox Pro;RPG","React.js;Angular.js;ASP.NET;ASP.NET Core;Spring;Flask;CakePHP;Ruby on Rails;Gatsby",".NET;NET Core;TensorFlow;Unity 3D;Keras;Xamarin;Hadoop;Chef","MariaDB;MongoDB;Firebase;Elasticsearch","Microsoft Windows;iOS;Arduino","VBA","PHP","ASP.NET Core","Express","Slack;Google Suite (Docs, Meet, etc);Microsoft Azure"
"2021/03/03 7:05:54 a. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;Desarrollador mobile;Administrador de base de datos;Project Leader","Administrador de sistemas","Sí","10 a 14 años","10 a 14 años","10 a 11 años","Educación básica;Educación secundaria;Educación universitaria;Autodidacta","Programación;Análisis de sistemas","Bastante importante","Hombre","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;TypeScript;PHP;Python;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;Angular;Angular.js;JQuery;Express;Vue.js;Django;Laravel","Node.js;Cordova","MySQL;MariaDB;PostgreSQL;SQLite","GNU/Linux;MacOS;Docker;WordPress;Google Cloud Platform;Arduino","PHP","Objective-C","Laravel","ASP.NET Core","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/03 9:03:03 a. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;QA o testing;Administrador de base de datos;Project Leader","Administrador de sistemas","Sí","10 a 14 años","10 a 14 años","18 a 19 años","Educación universitaria","Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 15.000.000 a 18.000.000 gs","JavaScript;TypeScript;PHP;Python;Ruby;Java;C;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;Angular;Angular.js;JQuery;Vue.js;Spring;Flask","Node.js","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;Oracle","GNU/Linux;Docker","JavaScript","PHP","Angular.js","Spring","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
"2021/03/03 9:12:35 a. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación secundaria;Autodidacta","Programación","Más o menos importante","Hombre","20 a 24 años","Salario mínimo 2.192.839 gs","JavaScript;PHP;HTML/CSS;SQL","JQuery","","MySQL;MariaDB","GNU/Linux;Microsoft Windows","PHP","","Laravel","","GitHub;Discord"
"2021/03/03 12:12:33 p. m. GMT-3","Hibrído","Ambas","Desarrollador full-stack","","Sí","Menos de 5 años","5 a 9 años","10 a 11 años","Educación básica;Educación secundaria;Autodidacta","Programación;Diseño gráfico;Otras","Bastante importante","Hombre","25 a 29 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;PHP;Python;HTML/CSS;SQL","JQuery;Vue.js;Laravel","Node.js;TensorFlow;Cordova","MySQL;MariaDB;Elasticsearch","GNU/Linux;Microsoft Windows;MacOS;Docker;WordPress;Heroku","PHP","COBOL","Laravel","JQuery","GitHub;Slack;Google Suite (Docs, Meet, etc);Discord"
"2021/03/03 12:34:21 p. m. GMT-3","Remoto","Internacional","Desarrollador full-stack","","Sí","10 a 14 años","15 a 19 años","16 a 17 años","Educación básica;Educación secundaria;Autodidacta","Análisis de sistemas;Ingeniero Informática","No importa, no es necesario","Hombre","30 a 34 años","Más de 27.000.000 gs","JavaScript;TypeScript;PHP;Ruby;Go;HTML/CSS;SQL;Bash/Shell/PowerShell","React.js;Angular;Angular.js;JQuery;Express;Vue.js;Laravel;CodeIgniter;CakePHP;Ruby on Rails","Node.js;React Native","MySQL;MariaDB;PostgreSQL;SQLite;MongoDB;Redis;DynamoDB;Cassandra","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Microsoft Azure;WordPress;Google Cloud Platform;Heroku","JavaScript","C","React.js","Spring","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Azure;Trello;Discord"
"2021/03/03 12:58:18 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador front-end","","Sí","Menos de 5 años","5 a 9 años","12 a 13 años","Educación básica;Educación secundaria;Educación universitaria","Programación;Ingeniero Informática","Bastante importante","Hombre","20 a 24 años","Menos del salario mínimo ( 2.192.839 gs)","JavaScript;PHP;HTML/CSS;Dart","React.js;JQuery;Laravel;Symfony;CodeIgniter","Node.js;React Native;Flutter","","GNU/Linux;Microsoft Windows;MacOS;WordPress","JavaScript","","","","GitHub;Slack;GitLab;Discord"
"2021/03/03 1:17:34 p. m. GMT-3","Presencial","Ambas","Desarrollador back-end","","Sí","Menos de 5 años","5 a 9 años","18 a 19 años","Educación universitaria","Ingeniero Informática","Más o menos importante","Mujer","20 a 24 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;TypeScript;Python;HTML/CSS;SQL","React.js;Express","Node.js;React Native","PostgreSQL;MongoDB","GNU/Linux;Microsoft Windows;MacOS;AWS","TypeScript","","React.js","","GitHub;Slack;GitLab;Google Suite (Docs, Meet, etc)"
"2021/03/03 1:21:06 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador front-end","","Sí","5 a 9 años","5 a 9 años","16 a 17 años","Educación universitaria","Ingeniero Informática","Muy importante","Hombre","25 a 29 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;TypeScript;Python;Java;Swift","React.js;JQuery;Express;Spring;Django;Gatsby","Node.js;Keras;Hadoop","MongoDB;Redis;Elasticsearch","MacOS;Docker;Google Cloud Platform;iOS","","","","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/03 1:23:34 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador mobile","","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria","Ingeniero Informática","Más o menos importante","Hombre","20 a 24 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;TypeScript;Python;HTML/CSS;SQL","React.js;Express","Node.js;React Native","PostgreSQL;SQLite;MongoDB;Redis","GNU/Linux;Microsoft Windows;Docker;AWS;Raspberry Pi;Arduino","TypeScript","PHP","React.js","JQuery","GitHub;Google Suite (Docs, Meet, etc);Trello;Discord"
"2021/03/03 1:25:11 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Administrador de base de datos","Administrador de sistemas","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Master;Autodidacta","Programación;Análisis de sistemas","Bastante importante","Mujer","25 a 29 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;TypeScript;PHP;Python;Java;C;HTML/CSS;SQL;Haskell","React.js;Angular;Angular.js;JQuery;Vue.js;Spring;Django;CakePHP","Node.js;React Native","MySQL;PostgreSQL;Microsoft SQL Server;SQLite;Oracle","GNU/Linux;Microsoft Windows;Docker;Kubernetes;Heroku","Java","Assembly","Spring","","GitHub;GitLab;Google Suite (Docs, Meet, etc);Microsoft Team;Microsoft Azure"
"2021/03/03 2:07:31 p. m. GMT-3","Remoto","Nacional (Paraguay)","Administrador de base de datos","Diseñador;Educador","No","30 a 34 años","30 a 34 años","20 a 21 años","Educación universitaria;Autodidacta","Programación;Diseño gráfico","Bastante importante","Hombre","50 a 54 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;PHP;Python;HTML/CSS;SQL;Bash/Shell/PowerShell;VBA","Ruby on Rails","","MySQL;PostgreSQL;SQLite","GNU/Linux;Microsoft Windows;Android","Python","Assembly","JQuery","","GitHub;GitLab;Discord"
"2021/03/03 2:10:58 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador front-end","","Sí","5 a 9 años","5 a 9 años","16 a 17 años","Educación universitaria","Ingeniero Informática","Muy importante","Hombre","25 a 29 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;TypeScript;Python;Java;Swift","React.js;JQuery;Express;Spring;Django;Gatsby","Node.js;Keras;Hadoop","MongoDB;Redis;Elasticsearch","MacOS;Docker;Google Cloud Platform;iOS","","","","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/03 2:17:53 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack;Desarrollador mobile;Administrador de base de datos","Investigador científico;Educador","No","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria","Programación","Más o menos importante","Hombre","15 a 19 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;Python;C++;HTML/CSS;SQL;Dart","React.js;Express;Django;Flask","Node.js;Flutter","MySQL;PostgreSQL;Microsoft SQL Server;SQLite","GNU/Linux;Microsoft Windows;MacOS","Python","PHP","React.js","Angular.js","GitHub;Google Suite (Docs, Meet, etc);Microsoft Team;Discord"
"2021/03/03 3:54:32 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Aplicaciones de escritorio o empresariales;QA o testing;Administrador de base de datos","Administrador de sistemas","Sí","15 a 19 años","15 a 19 años","14 a 15 años","Educación universitaria","Análisis de sistemas","Más o menos importante","Mujer","35 a 39 años","Entre 5.000.000 a 7.000.000 gs","JavaScript;Java;HTML/CSS;SQL;Oracle form","JQuery","","MySQL;PostgreSQL;Oracle","Microsoft Windows","SQL","HTML/CSS","","","Microsoft Team"
"2021/03/03 4:02:11 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Administrador de base de datos","Administrador de sistemas","Sí","5 a 9 años","5 a 9 años","Menos de 10 años","Educación universitaria;Autodidacta","Programación;Análisis de sistemas;Ingeniero Informática","No importa, no es necesario","Hombre","25 a 29 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;PHP;Java;SQL","Vue.js;Laravel","","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite;MongoDB;Oracle;Firebase","Microsoft Windows","PHP","","Vue.js","","GitHub;Slack;GitLab;Microsoft Team;Trello"
"2021/03/03 5:18:28 p. m. GMT-3","Hibrído","Ambas","Desarrollador back-end","Administrador de sistemas","Sí","5 a 9 años","Menos de 5 años","10 a 11 años","Educación universitaria;Autodidacta","Programación;Análisis de sistemas","Bastante importante","Hombre","30 a 34 años","Entre 2.192.839 gs a 3.500.000 gs","Python;HTML/CSS;Bash/Shell/PowerShell","Django","Pandas;TensorFlow;Keras","MySQL;PostgreSQL;Microsoft SQL Server","GNU/Linux;Microsoft Windows;Docker","Python","JavaScript","Django","JQuery","GitHub;Slack;Google Suite (Docs, Meet, etc);Discord"
"2021/03/03 7:48:33 p. m. GMT-3","Remoto","Ambas","Desarrollador mobile","","Sí","5 a 9 años","5 a 9 años","14 a 15 años","Master","Ingeniero Informática","Bastante importante","Hombre","30 a 34 años","Entre 15.000.000 a 18.000.000 gs","Kotlin;Swift;Objective-C","","","","MacOS;iOS","Swift","Objective-C","","","GitHub;Slack;Jira;Google Suite (Docs, Meet, etc);Confluence;Microsoft Team"
"2021/03/03 8:21:00 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Administrador de base de datos","Administrador de sistemas","Sí","10 a 14 años","10 a 14 años","18 a 19 años","Educación universitaria","Ingeniero Informática","Más o menos importante","Hombre","35 a 39 años","Entre 7.000.000 a 9.000.000 gs","JavaScript;PHP;Python;Ruby;Java;C;C++;HTML/CSS;SQL;Bash/Shell/PowerShell;VBA;Oracle form","JQuery;Ruby on Rails","","MySQL;PostgreSQL;Firebase","GNU/Linux;Microsoft Windows;WordPress","Ruby","Java","Ruby on Rails","ASP.NET","GitHub;GitLab;Google Suite (Docs, Meet, etc);Trello"
"2021/03/03 8:22:51 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Administrador de base de datos","","Sí","10 a 14 años","10 a 14 años","14 a 15 años","Educación básica;Educación secundaria;Autodidacta","Programación;Análisis de sistemas","Bastante importante","Hombre","30 a 34 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;Java;C#;SQL","JQuery;ASP.NET;Spring",".NET","PostgreSQL;Microsoft SQL Server","Microsoft Windows","C#","HTML/CSS","ASP.NET","Spring","GitHub;GitLab;Jira;Microsoft Team;Discord"
"2021/03/03 8:34:51 p. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador full-stack","Administrador de sistemas;Diseñador","Sí","Menos de 5 años","Menos de 5 años","Menos de 10 años","Educación básica;Educación secundaria;Educación universitaria","Programación;Análisis de sistemas;Ingeniero Informática;Matemático","Muy importante","Hombre","20 a 24 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;PHP;Java;C++;HTML/CSS;SQL;Dart","React.js;Angular.js;JQuery;Laravel;Symfony","Node.js;.NET;Flutter","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;Oracle;Firebase","GNU/Linux;Microsoft Windows;MacOS","PHP","COBOL","Vue.js","Flask","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Discord"
"2021/03/03 8:48:41 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador full-stack;Aplicaciones de escritorio o empresariales;Project Leader","","Sí","5 a 9 años","5 a 9 años","10 a 11 años","Educación universitaria","Análisis de sistemas","Más o menos importante","Hombre","30 a 34 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;TypeScript;Python;Java;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;Oracle form","React.js;Angular.js","Node.js","PostgreSQL;Oracle","GNU/Linux;MacOS;Docker;AWS","Java","","React.js","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/03 11:04:03 p. m. GMT-3","Remoto","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;QA o testing;Administrador de base de datos","","Sí","5 a 9 años","Menos de 5 años","Menos de 10 años","Educación universitaria","Análisis de sistemas","Más o menos importante","Mujer","30 a 34 años","Entre 3.500.000 a 5.000.000 gs","JavaScript;TypeScript;Java;C;HTML/CSS;SQL;Genexus","Angular;JQuery","","PostgreSQL;Oracle","GNU/Linux;Microsoft Windows","TypeScript","Genexus","Angular","Ruby on Rails","GitHub;GitLab;Google Suite (Docs, Meet, etc)"
"2021/03/04 7:30:20 a. m. GMT-3","Presencial","Nacional (Paraguay)","Desarrollador back-end;Desarrollador front-end;Aplicaciones de escritorio o empresariales;Administrador de base de datos","","Sí","Menos de 5 años","5 a 9 años","Menos de 10 años","Educación universitaria;Autodidacta","Ingeniero Informática","Bastante importante","Mujer","25 a 29 años","Entre 2.192.839 gs a 3.500.000 gs","JavaScript;Python;C;C++;HTML/CSS;SQL;Dart;Oracle form","Express;Vue.js;Django;Flask;Laravel","Node.js;Flutter","MariaDB;PostgreSQL;MongoDB;Oracle","GNU/Linux;Microsoft Windows;Docker","Dart","PHP","Vue.js","Angular","GitHub;GitLab;Google Suite (Docs, Meet, etc)"
"2021/03/04 8:58:50 a. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;Aplicaciones de escritorio o empresariales","Educador","Sí","5 a 9 años","15 a 19 años","14 a 15 años","Educación básica;Educación secundaria;Educación universitaria","Análisis de sistemas","Más o menos importante","Hombre","30 a 34 años","Entre 3.500.000 a 5.000.000 gs","Java;C;SQL","Spring","","PostgreSQL","Microsoft Windows","C","Oracle form","Spring","JQuery","GitHub;Slack;Trello"
"2021/03/04 10:11:20 a. m. GMT-3","Remoto","Internacional","Desarrollador full-stack","","Sí","Menos de 5 años","5 a 9 años","10 a 11 años","Educación universitaria","Ingeniero Informática","Muy importante","Mujer","25 a 29 años","Más de 27.000.000 gs","JavaScript;TypeScript;PHP;Ruby;Java;HTML/CSS","React.js;JQuery;Express;CodeIgniter;Ruby on Rails","Node.js;Cordova","MySQL;PostgreSQL;Redis","GNU/Linux;Microsoft Windows;MacOS;Docker;AWS;Heroku","Ruby","C","Ruby on Rails","Vue.js","GitHub;Slack;Jira;Google Suite (Docs, Meet, etc);Confluence"
"2021/03/04 1:38:26 p. m. GMT-3","Hibrído","Nacional (Paraguay)","Desarrollador full-stack;Administrador de base de datos;Project Leader","Administrador de sistemas;Científico de datos o especialista Machine Learning","Sí","10 a 14 años","10 a 14 años","16 a 17 años","Educación universitaria","Programación;Análisis de sistemas;Otras","Muy importante","Hombre","35 a 39 años","Entre 9.000.000 a 12.000.000 gs","JavaScript;PHP;Python;Java;C;C#;C++;Go;HTML/CSS;SQL;Bash/Shell/PowerShell;R;Dart;VBA;Genexus;Fox Pro","React.js;JQuery;Laravel","Node.js;.NET;Unity 3D;Flutter","MySQL;MariaDB;PostgreSQL;Microsoft SQL Server;SQLite","GNU/Linux;Microsoft Windows;AWS;Android;Microsoft Azure;WordPress;Google Cloud Platform","C++","","","","GitHub;Slack;GitLab;Jira;Google Suite (Docs, Meet, etc);Microsoft Team;Trello"
